Clave,Descripción,Principio Activo,Laboratorio,IVA,SKU,PRECIO,Categoria
AH-14,LEMOPHAR TAB. 10 MG. CAJA C/10,BUTILHIOSCINA,ALPHARMA,N,7503003134503,$28.78,Antiespasmódicos
AH-15,ANTACSAL TAB. 500 MG. CAJA C/20,ACIDO ACETILSALICILICO,ALPHARMA,N,75017125,$11.54,Analgésicos / AINEs
AH-19,FLONACIN TAB. 400 MG CAJA C/8,OFLOXACINO,ALPHARMA,N,7503004908301,$37.86,
AH-22,PHARMACEN SOL. 100 MG. FCO. C/15 ML.,PARACETAMOL,ALPHARMA,N,75017132,$11.54,Analgésicos
AH-23,PHARMACEN-T TAB. 500 MG. CAJA C/10,PARACETAMOL,ALPHARMA,N,75017071,$7.39,Analgésicos
AH-24,THRIAZOL TAB. 80/400 MG. CAJA C/20,TRIMETOPRIMA-SULFAMETOXAZOL,ALPHARMA,N,75017118,$16.58,Combinados
AH-25,ELYZOL TAB. 500 MG. CAJA C/30,METRONIDAZOL,ALPHARMA,N,75017095,$22.40,Antiparasitarios
AH-27,VELPRO CAP. 100 MG. CAJA C/20,BENZONATATO,ALPHARMA,N,7502226290102,$34.27,
AH-31,LEMOPHAR INY. 20 MG./ML. CAJA C/3 AMP. C/1 ML.,HIOSCINA,ALPHARMA,N,7502226294872,$29.90,
AH-32,ELYZOL-S SUSP. CAJA C/FCO. C/120 ML.,METRONIDAZOL,ALPHARMA,N,7503003134008,$25.98,Antiparasitarios
AH-34,THRIAZOL-S SUSP. 40/200 MG. CAJA C/FCO. C/120 ML.,TRIMETOPRIMA-SULFAMETOXAZOL,ALPHARMA,N,7503003134039,$29.57,Combinados
AH-36,VIVRADOXIL TAB. 100 MG. CAJA C/10,DOXICICLINA,ALPHARMA,N,75017156,$35.50,Antibióticos
AH-42,HURPLEX TAB. 2 MG. CAJA C/12,LOPERAMIDA,ALPHARMA,N,75016845,$9.52,Antidiarreicos
AH-43,MIBESAN S SUSP. CAJA C/FCO. C/24 ML.,NISTATINA,ALPHARMA,N,7503003134701,$41.33,Antifúngicos
AH-44,NACOMIC CMA. CAJA C/TUBO C/30 G.,MICONAZOL,ALPHARMA,N,7503003134206,$14.67,
AH-49,TROPHARMA TAB. 500 MG. CAJA C/20,ERITROMICINA,ALPHARMA,N,7503003134268,$54.43,
AH-53,CLISON TAB. 200 MG. CAJA C/FCO. C/20,SULINDACO,ALPHARMA,N,75016944,$71.68,
AH-60,LONASON CMA. CAJA C/TUBO C/40 G.,FLUOCINOLONA,ALPHARMA,N,7503004908240,$22.40,
AH-67,FLAVOXEN TAB. 250 MG. CAJA C/FCO. C/30,NAPROXENO,ALPHARMA,N,7503004908042,$27.22,Analgésicos / AINEs
AH-68,HIDROPHARM TAB. 50 MG. CAJA C/30,CLORTALIDONA,ALPHARMA,N,7503003134664,$19.82,
AH-98,DRONADIL TAB. 70 MG. CAJA C/4,ALENDRONATO SODICO,ALPHARMA,N,7502226290157,$56.78,
AH-99,PHARMAFIL TAB. L.P. 100 MG. CAJA C/20,TEOFILINA,ALPHARMA,N,7502226291475,$43.68,
AHI-01,COMPLEJO B TAB. 100/5/MG./50 MCG. CAJA C/30,COMPLEJO B,ALPHARMA,N,7502226295473,$41.22,Vitaminas y Suplementos
AHI-03,ACARBOSA TAB. 50 MG. CAJA C/30,ACARBOSA,ALPHARMA,N,7503004908875,$53.20,
AHI-04,CINARIZINA TAB. 75 MG. FCO. C/60,CINARIZINA,ALPHARMA,N,7503004908820,$42.56,
AHI-06,ALBENDAZOL SUSP. CAJA C/FCO. C/20 ML.,ALBENDAZOL,ALPHARMA,N,7503004908646,$8.29,Antiparasitarios
AHI-07,METFORMINA TAB. 850 MG. CAJA C/30,METFORMINA,ALPHARMA,N,7503004908776,$20.72,Diabetes
AHI-08,ISOCONAZOL CMA. TUBO C/20 G.,ISOCONAZOL,ALPHARMA,N,7503004908707,$28.34,
AHI-09,ACIDO ACETILSALICILICO TAB. 500 MG. CAJA C/20,ACIDO ACETILSALICILICO,ALPHARMA,N,7503004908684,$11.54,Analgésicos / AINEs
AHI-100,TERBINAFINA SOL. 1% SPRAY FCO. C/ATOMIZADOR C/30 ML.,TERBINAFINA,ALPHARMA,N,7502226294254,$43.79,
AHI-101,VITAMINAS ACD SOL. ING. CAJA C/1 AMP. C/3 ML.,VITAMINA A-VITAMINA C-VITAMINA D.,ALPHARMA,N,7502226294506,$16.02,Combinados
AHI-102,VITAMINAS ACD SOL. ING. CAJA C/5 AMP. C/3 ML.,VITAMINA A-VITAMINA C-VITAMINA D.,ALPHARMA,N,7502226294513,$46.26,Combinados
AHI-103,CELECOXIB CAP. 200 MG. CAJA C/10,CELECOXIB,ALPHARMA,N,7502226294858,$92.18,
AHI-104,CELECOXIB CAP. 200 MG. CAJA C/20,CELECOXIB,ALPHARMA,N,7502226294865,$156.91,
AHI-105,TERBINAFINA CMA. 1% CAJA C/TUBO C/15 G.,TERBINAFINA,ALPHARMA,N,7502226294544,$21.50,
AHI-106,TADALAFIL TAB. 20 MG. CAJA C/1,TADALAFIL,ALPHARMA,N,7502226296098,$52.53,
AHI-107,TADALAFIL TAB. 20 MG. CAJA C/4,TADALAFIL,ALPHARMA,N,7502226296104,$180.43,
AHI-14,BENZONATATO CAP. 100 MG. CAJA C/20,BENZONATATO,ALPHARMA,N,7503004908660,$34.27,
AHI-17,LIDOCAINA UNGUENTO CAJA C/TUBO C/35 G.,LIDOCAINA,ALPHARMA,N,7503004908738,$28.34,Anestésicos locales
AHI-20,NAPROXENO TAB. 250 MG. CAJA C/30,NAPROXENO,ALPHARMA,N,7503004908769,$24.30,Analgésicos / AINEs
AHI-21,NISTATINA SUSP. FCO. C/PVO. P/24 ML.,NISTATINA,ALPHARMA,N,7503004908844,$41.33,Antifúngicos
AHI-22,KETOROLACO TAB. 10 MG. CAJA C/10,KETOROLACO TROMETAMINA,ALPHARMA,N,7502226291932,$9.52,Analgésicos / AINEs
AHI-24,PARACETAMOL TAB. 500 MG. CAJA C/10,PARACETAMOL,ALPHARMA,N,7503004908691,$7.39,Analgésicos
AHI-25,PARACETAMOL SOL. GOTAS FCO. C/15 ML.,PARACETAMOL,ALPHARMA,N,7503004908615,$9.86,Analgésicos
AHI-29,SULINDACO TAB. 200 MG. CAJA C/20,SULINDACO,ALPHARMA,N,7503004908752,$71.68,
AHI-30,TRIMETOPRIMA/SULFAMETOXAZOL SUSP. 40/200 MG. FCO. C/120 ML,TRIMETOPRIMA-SULFAMETOXAZOL,ALPHARMA,N,7503004908837,$29.57,Combinados
AHI-32,MICONAZOL CMA. CAJA C/TUBO C/20 G.,MICONAZOL,ALPHARMA,N,7503004908714,$13.22,
AHI-33,CLORTALIDONA TAB. 50 MG. CAJA C/30,CLORTALIDONA,ALPHARMA,N,7502226291871,$19.82,
AHI-34,DOXICICLINA TAB. 100 MG. CAJA C/10,DOXICICLINA,ALPHARMA,N,7502226291857,$35.39,Antibióticos
AHI-35,LOSARTAN TAB. 50 MG. CAJA C/30,LOSARTAN POTASICO,ALPHARMA,N,7502226294766,$57.46,Antihipertensivos
AHI-37,CLIOQUINOL CMA. CAJA C/TUBO C/20 G.,CLIOQUINOL,ALPHARMA,N,7503004908677,$12.99,
AHI-38,OXIDO DE ZINC PASTA 25 G./100 G. TARRO C/30 G.,OXIDO DE ZINC,ALPHARMA,N,7503004908851,$17.92,
AHI-43,ACARBOSA TAB. 100 MG. CAJA C/30,ACARBOSA,ALPHARMA,N,7502226292410,$101.70,
AHI-48,AZITROMICINA TAB. 500 MG. CAJA C/3,AZITROMICINA,ALPHARMA,N,7502226291901,$34.94,Antibióticos
AHI-49,ROSUVASTATINA TAB. 20 MG. CAJA C/15,ROSUVASTATINA,ALPHARMA,N,7502226293158,$94.64,Hipolipemiantes
AHI-66,METRONIDAZOL TAB. 500 MG. CAJA C/30,METRONIDAZOL,ALPHARMA,N,7502226291888,$22.40,Antiparasitarios
AHI-68,TRIMETOPRIMA SULFAMETOXAZOL TAB. 80/400 CAJA C/20,TRIMETOPRIMA-SULFAMETOXAZOL,ALPHARMA,N,7502226291918,$18.93,Combinados
AHI-69,"VITAMINA A 50,000 UI. CAP. CAJA C/40 (RETINOL)",VITAMINA A,ALPHARMA,N,7502226290867,$70.90,Vitaminas y Suplementos
AHI-70,TELMISARTAN TAB. 80 MG. CAJA C/14,TELMISARTAN,ALPHARMA,N,7502226293844,$59.14,
AHI-70,TELMISARTAN TAB. 80 MG. CAJA C/14,TELMISARTAN,ALPHARMA,N,7502226293844,$59.14,
AHI-71,TELMISARTAN TAB. 80 MG. CAJA C/28,TELMISARTAN,ALPHARMA,N,7502226293851,$106.40,
AHI-73,METFORMINA TAB. L.P. 500 MG. CAJA C/FCO. C/30,METFORMINA,ALPHARMA,N,7502226293929,$121.86,Diabetes
AHI-74,METFORMINA TAB. L.P. 750 MG. CAJA C/30,METFORMINA,ALPHARMA,N,7502226293936,$72.13,Diabetes
AHI-75,OSELTAMIVIR CAP. 75 MG. CAJA C/10,OSELTAMIVIR,ALPHARMA,N,7502226294131,$179.65,Antivirales
AHI-76,DICLOFENACO GEL CAJA C/TUBO C/40 G.,DICLOFENACO,ALPHARMA,N,7502226294421,$22.40,Analgésicos / AINEs
AHI-77,DICLOFENACO INY. 75 MG. CAJA C/2 AMP. C/3 ML.,DICLOFENACO SODICO,ALPHARMA,N,7502226292038,$23.18,Analgésicos / AINEs
AHI-87,ORLISTAT CAP. 60 MG. CAJA C/30,ORLISTAT,ALPHARMA,N,7502226293943,$99.34,
AHI-88,ORLISTAT CAP. 60 MG. CAJA C/60,ORLISTAT,ALPHARMA,N,7502226293950,$210.45,
AHI-90,HIOSCINA TAB. 10 MG. CAJA C/10,HIOSCINA,ALPHARMA,N,7502226293271,$28.78,
AHI-91,ERITROMICINA TAB. 500 MG. CAJA C/20,ERITROMICINA,ALPHARMA,N,7502226294773,$54.43,
AHI-92,FLUOCINOLONA CMA. CAJA C/TUBO C/20 G.,FLUOCINOLONA,ALPHARMA,N,7502226294476,$13.10,
AHI-95,ROSUVASTATINA TAB. 10 MG. CAJA C/30,ROSUVASTATINA,ALPHARMA,N,7502226293738,$95.76,Hipolipemiantes
AHI-97,TELMISARTAN TAB. 40 MG. CAJA C/14,TELMISARTAN,ALPHARMA,N,7502226293790,$41.33,
AHI-98,TELMISARTAN TAB. 40 MG. CAJA C/28,TELMISARTAN,ALPHARMA,N,7502226293806,$59.14,
AHI-99,TERBINAFINA CMA. CAJA C/TUBO C/20 G.,TERBINAFINA,ALPHARMA,N,7502226291772,$33.49,
ALCON-02,SOLUTINA F SOL. OFTALMICA C/15 ML.,FENIRAMINA-NAFAZOLINA,ALCON,N,75014032,$98.67,Combinados
ALCON-03,SOLUTINA F SOL. OFTALMICA C/15 ML. C/BLISTER,FENIRAMIDA/NAFAZOLINA,ALCON,N,75017255,$98.67,
ALCON-04,OPTI-FREE EXPRESS SOL. CAJA C/FCO. C/120 ML.,"CITRATO DE SODIO, CLORURO DE SODIO, ACIDO BORICO",ALCON,Y,300653145357,$137.63,
ALCON-05,OPTI-FREE EXPRESS SOL. CAJA/FCO. C/355 ML.,"CITRATO DE SODIO, CLORURO DE SODIO, ACIDO BORICO, SORBITAL",ALCON,Y,300653145333,$201.71,
ALCON-06,OPTI-FREE PURE MOIST SOL. CAJA C/FCO. C/90 ML.,,ALCON,Y,300653610794,$116.62,
ALCON-07,OPTI-FREE PURE MOIST SOL. CAJA C/FCO. C/120 ML.,,ALCON,Y,300653610800,$150.40,
ALCON-08,OPTI-FREE PURE MOIST SOL. CAJA C/FCO. C/300 ML.,,ALCON,Y,300653610824,$220.12,
ALCON-09,NATURALAG LUB. UNG. TUBO C/3.5 G.,"ACEITE MINERAL, LANOLINA ANHIDRA, PETROLATO BLANCO",ALCON,Y,7501088607806,$261.71,
ALCON-10,SYSTANE BALANCE GOTAS LUBRICANTES FCO. C/ 10 ML.,"PROPILENGLICOL HIDROXIPROPIL GUAR, ACEITE MINERAL",ALCON,Y,300651433272,$792.24,
ALCON-11,SYSTANE GEL GOTAS LUBRICANTES CAJA /FCO. C/ 10 ML.,"POLIETILENGLICOL 400, PROPILENGLICOL,",ALCON,Y,300650454179,$833.83,
ALCON-12,SYSTANE GOTAS LUBRICANTES CAJA /FCO. C/ 15 ML.,"POLIETILENGLICOL 400, PROPILENGLICOL, HIDROXIPROPIL GUAR",ALCON,Y,7501088617959,$886.15,
ALCON-13,SYSTANE TOALLITAS CAJA C/30 TOALLITAS PRE-HUMECTADAS,"AGUA PUIRIFICADA, PEG 200 PALMATO GLICERILICO HIDROGENADO, LAURET, SULFOSUCCIONATO DISODICO, OXIDO DE COCAMIDOPROPILAMINA, COCOATO DE PEG-80",ALCON,Y,300658052421,$568.50,Combinados
ALCON-14,SYSTANE ULTRA GOTAS LUBRICANTES CAJA /FCO. C/ 10 ML.,"POLIETILENGLICOL 400, PROPILENGLICOL",ALCON,Y,300651431681,$672.92,
ALCON-15,SYSTANE ULTRA PLUS  C/ 10 ML.,,ALCON,Y,8427324896959,$742.75,
ALCON-16,SYSTANE ULTRA SP GTS. OFT. LUBRICANTES C/ 10 ML.,"POLIETILENGLICOL 400, PROPILENGLICOL",ALCON,Y,300651507966,$683.31,
ALCON-17,SYSTANE HIDRATACION SP GTS. OFT. C/ 10 ML.,"HIALURONATO DE SODIO, POLIETILENGLICOL 400, PROPILENGLICOL, HIDROXIPROPIL",ALCON,Y,300651510577,$761.06,
ALCON-18,SYSTANE ULTRA UNIDOSIS GTS. OFT. LUBRICANTES CAJA C/30 VIALES DE 0.7  ML.,"POLIETILENGLICOL 400 AL 0.4%, PROPILENGLICOL 0.3%",ALCON,Y,3700028501509,"$1,021.52",
ALCON-19,SYSTANE COMPLETE GTS. OFT. LUBRICANTES C/ 10 ML.,"PROPILENGLICOL, HIDROXIPROPIL GUAR",ALCON,Y,300650481779,$806.37,
ALCON-20,SYSTANE COMPLETE SP GTS. OFT. LUBRICANTES C/ 10 ML.,"PROPILENGLICOL, HIDROXIPROPIL GUAR, ACEITE MINERAL",ALCON,Y,300651509625,$788.97,
ALCON-21,TEARS NATURALE II LAGRIMAS ARTIFICIALES  SOL. CAJA C/FCO. C/15 ML.,"HIDROPROPILMETILCELULOSA, DEXTRAN, BORATO DE SODIO",ALCON,Y,7501088615108,$673.71,
ALPHARMARX-01,ZAF TAB. 200 MG. CAJA C/30,BEZAFIBRATO,ALPHARMA,N,7502226290621,$154.22,
ALPHARMARX-02,XELETEC CAP. 200 MG. CAJA/20,VALPROATO DE MAGENSIO,ALPHARMA,N,7502226295503,$574.90,
ALPHARMARX-03,XELETEC CAP. 200 MG. CAJA C/30,CELECOXIB,ALPHARMA,N,7502226295510,$756.22,
AM-01,AMSAFAST CAP. 120 MG. CAJA C/21,ORLISTAT,ANTIBIOTICOS DE MEXICO,N,7501349027343,$119.06,
AM-01,AMSAFAST CAP. 120 MG. CAJA C/21,ORLISTAT,ANTIBIOTICOS DE MEXICO,N,7501349027343,$119.06,
AM-10,"PENIPOT INY. 400,000 U. CAJA C/FCO. AMP. C/PVO. Y AMP. C/2 ML.",BENCILPENICILINA PROCAINICA CRISTALINA,ANTIBIOTICOS DE MEXICO,N,7501349012172,$20.83,Antibióticos
AM-11,"PENIPOT INY. 800,000 U. C/1 FCO. AMP. Y 2 ML.",BENCILPENICILINA PROCAINICA Y CRISTALINA,ANTIBIOTICOS DE MEXICO,N,7501349011175,$23.30,Antibióticos
AM-11,"PENIPOT INY. 800,000 U. C/1 FCO. AMP. Y 2 ML.",BENCILPENICILINA PROCAINICA Y CRISTALINA,ANTIBIOTICOS DE MEXICO,N,7501349011175,$23.30,Antibióticos
AM-14,GRAMAXIN TAB. 500/125 MG. CAJA C/FCO. C/12,AMOXICILINA-ACIDO CLAVULANICO,ANTIBIOTICOS DE MEXICO,N,7501349011243,$47.94,Antibióticos
AM-15,AMCEF INY. 1 G. I.V. C/1 FCO. AMP. Y 10 ML.,CEFTRIAXONA,ANTIBIOTICOS DE MEXICO,N,7501349012011,$37.41,Antibióticos
AM-15,AMCEF INY. 1 G. I.V. C/1 FCO. AMP. Y 10 ML.,CEFTRIAXONA,ANTIBIOTICOS DE MEXICO,N,7501349012011,$37.41,Antibióticos
AM-15,AMCEF INY. 1 G. I.V. C/1 FCO. AMP. Y 10 ML.,CEFTRIAXONA,ANTIBIOTICOS DE MEXICO,N,7501349012011,$37.41,Antibióticos
AM-16,LUBRIAMSA SOL. OFTALMICA FCO. GOTERO C/15 ML.,NAFAZOLINA-FENIRAMINA,ANTIBIOTICOS DE MEXICO,N,7501349017931,$26.54,Combinados
AM-20,AMCEF INY. 1 G. I.M. CAJA C/FCO. AMP. C/PVO. Y AMP. C/3.5 ML.,CEFTRIAXONA-LIDOCAINA,ANTIBIOTICOS DE MEXICO,N,7501349012004,$23.41,Antibióticos
AM-51,SOLURAL PEDIATRICO SABOR UVA FCO. C/300 ML. CAJA C/24,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349012377,$374.53,Hidratación / Rehidratación
AM-51,SOLURAL PEDIATRICO SABOR UVA FCO. C/300 ML. CAJA C/24,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349012377,$374.53,Hidratación / Rehidratación
AM-52,SOLURAL PEDIATRICO SABOR MANZANA FCO. C/300 ML. CAJA C/24,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349012384,$374.53,Hidratación / Rehidratación
AM-53,SOLURAL PEDIATRICO SABOR FRESA FCO. C/300 ML. CAJA C/24,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349012391,$374.53,Hidratación / Rehidratación
AM-53,SOLURAL PEDIATRICO SABOR FRESA FCO. C/300 ML. CAJA C/24,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349012391,$374.53,Hidratación / Rehidratación
AM-54,SOLURAL SOL. MANZANA FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349029191,$195.44,Hidratación / Rehidratación
AM-54,SOLURAL SOL. MANZANA FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349029191,$195.44,Hidratación / Rehidratación
AM-54,SOLURAL SOL. MANZANA FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349029191,$195.44,Hidratación / Rehidratación
AM-55,SOLURAL SOL. COCO FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349029078,$195.44,Hidratación / Rehidratación
AM-56,SOLURAL SOL. FRESA FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349029061,$195.44,Hidratación / Rehidratación
AM-56,SOLURAL SOL. FRESA FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349029061,$195.44,Hidratación / Rehidratación
AM-57,SOLURAL SOL. DURAZNO FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349011615,$195.44,Hidratación / Rehidratación
AM-58,AMCEF INY. 500 MG. I.M. FCO. AMP. Y AMP. C/2 ML.,CEFTRIAXONA-LIDOCAINA,ANTIBIOTICOS DE MEXICO,N,7501349011007,$25.98,Antibióticos
AM-58,AMCEF INY. 500 MG. I.M. FCO. AMP. Y AMP. C/2 ML.,CEFTRIAXONA-LIDOCAINA,ANTIBIOTICOS DE MEXICO,N,7501349011007,$25.98,Antibióticos
AM-66,GRAMAXIN SUSP. 250/62.5 MG. FCO. C/PVO. P/60 ML.,AMOXICILINA-ACIDO CLAVULANICO,ANTIBIOTICOS DE MEXICO,N,7501349029408,$36.18,Antibióticos
AM-66,GRAMAXIN SUSP. 250/62.5 MG. FCO. C/PVO. P/60 ML.,AMOXICILINA-ACIDO CLAVULANICO,ANTIBIOTICOS DE MEXICO,N,7501349029408,$36.18,Antibióticos
AM-70,SOLURAL SOL. NARANJA-MANDARINA FCO. C/500 ML. CAJA C/12,ELECTROLITOS ORALES,ANTIBIOTICOS DE MEXICO,N,17501349029207,$195.44,Hidratación / Rehidratación
